Row Labels,Average of prcp,Average of prcp_rolling_3day,Average of prcp_rolling_7day,Average of prcp_rolling_14day,,,,,,,,,,,,,Row Labels,Average of tmin,Average of tmin_rolling_3day,Average of tmin_rolling_7day,Average of tmin_rolling_14day,,,,,,,,,,,,,,,,,Row Labels,Average of tmax,Average of tmax_rolling_3day,Average of tmax_rolling_7day,Average of tmax_rolling_14day
6/20/2000,0,0,0,0,,,,,,,,,,,,,6/20/2000,54.4,56.4666668,57.2857146,54.7714284,,,,,,,,,,,,,,,,,6/20/2000,88.4,86.0666666,88.3142858,85.742857
6/21/2000,0,0,0,0,,,,,,,,,,,,,6/21/2000,56.6,56.2666666,57.0571428,55.0142858,,,,,,,,,,,,,,,,,6/21/2000,86.4,86.3999998,87.2857144,85.7428572
6/22/2000,0,0,0,0,,,,,,,,,,,,,6/22/2000,58.4,56.4666668,57.1714286,55.5000002,,,,,,,,,,,,,,,,,6/22/2000,87.8,87.5333334,86.5714284,86.3142856
6/23/2000,0,0,0,0,,,,,,,,,,,,,6/23/2000,57.4,57.4666666,57.2,56.1,,,,,,,,,,,,,,,,,6/23/2000,87.2,87.1333332,86.457143,87.2142858
6/24/2000,0,0,0,0,,,,,,,,,,,,,6/24/2000,58.6,58.1333332,57.1999998,56.7142858,,,,,,,,,,,,,,,,,6/24/2000,87.6,87.5333334,86.7428572,87.8000002
6/25/2000,0.016,0.0053334,0.0022858,0.0011428,,,,,,,,,,,,,6/25/2000,60,58.6666666,57.6,57.2857144,,,,,,,,,,,,,,,,,6/25/2000,91.2,88.6666666,87.5714284,88.3142856
6/26/2000,0,0.0053334,0.0022858,0.0011428,,,,,,,,,,,,,6/26/2000,63.6,60.7333334,58.4285712,58.0285716,,,,,,,,,,,,,,,,,6/26/2000,92,90.2666666,88.657143,88.6857142
6/27/2000,0,0.0053334,0.0022858,0.0011428,,,,,,,,,,,,,6/27/2000,62.2,61.9333334,59.5428574,58.414286,,,,,,,,,,,,,,,,,6/27/2000,91.4,91.5333332,89.0857142,88.7000002
6/28/2000,0,0,0.0022858,0.0011428,,,,,,,,,,,,,6/28/2000,60.2,62.0000002,60.057143,58.5571428,,,,,,,,,,,,,,,,,6/28/2000,91,91.4666668,89.7428572,88.5142858
6/29/2000,0,0,0.0022858,0.0011428,,,,,,,,,,,,,6/29/2000,58.8,60.4,60.1142858,58.6428572,,,,,,,,,,,,,,,,,6/29/2000,91,91.1333334,90.2,88.3857144
6/30/2000,0,0,0.0022858,0.0011428,,,,,,,,,,,,,6/30/2000,57.8,58.9333334,60.1714286,58.6857142,,,,,,,,,,,,,,,,,6/30/2000,89.4,90.4666668,90.5142856,88.4857144
7/1/2000,0,0,0.0022858,0.0011428,,,,,,,,,,,,,7/1/2000,59.8,58.8000002,60.342857,58.7714286,,,,,,,,,,,,,,,,,7/1/2000,87.8,89.3999998,90.542857,88.6428572
7/2/2000,0,0,0,0.0011428,,,,,,,,,,,,,7/2/2000,58.4,58.6666666,60.1142856,58.857143,,,,,,,,,,,,,,,,,7/2/2000,86.6,87.9333334,89.8857142,88.7285716
